terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	1206000000	ns
noa	throughput	ascii	1	total_ns	1446842000	ns
noa	throughput	ascii	median	inner_ns	1206000000	ns
noa	throughput	ascii	median	mib_per_s	124.4	mib_s
noa	throughput	unicode	1	inner_ns	1301089000	ns
noa	throughput	unicode	1	total_ns	1544090000	ns
noa	throughput	unicode	median	inner_ns	1301089000	ns
noa	throughput	unicode	median	mib_per_s	115.3	mib_s
ghostty	throughput	ascii	1	inner_ns	2143354000	ns
ghostty	throughput	ascii	1	total_ns	2278857000	ns
ghostty	throughput	ascii	median	inner_ns	2143354000	ns
ghostty	throughput	ascii	median	mib_per_s	70.0	mib_s
ghostty	throughput	unicode	1	inner_ns	1951321000	ns
ghostty	throughput	unicode	1	total_ns	2138946000	ns
ghostty	throughput	unicode	median	inner_ns	1951321000	ns
ghostty	throughput	unicode	median	mib_per_s	76.9	mib_s
termy	throughput	ascii	1	inner_ns	1027813000	ns
termy	throughput	ascii	1	total_ns	1212436000	ns
termy	throughput	ascii	median	inner_ns	1027813000	ns
termy	throughput	ascii	median	mib_per_s	145.9	mib_s
termy	throughput	unicode	1	inner_ns	994047000	ns
termy	throughput	unicode	1	total_ns	1185783000	ns
termy	throughput	unicode	median	inner_ns	994047000	ns
termy	throughput	unicode	median	mib_per_s	150.9	mib_s
kitty	throughput	ascii	1	inner_ns	1402740000	ns
kitty	throughput	ascii	1	total_ns	1684265000	ns
kitty	throughput	ascii	median	inner_ns	1402740000	ns
kitty	throughput	ascii	median	mib_per_s	106.9	mib_s
kitty	throughput	unicode	1	inner_ns	1305890000	ns
kitty	throughput	unicode	1	total_ns	1577005000	ns
kitty	throughput	unicode	median	inner_ns	1305890000	ns
kitty	throughput	unicode	median	mib_per_s	114.9	mib_s
noa	scroll	-	1	inner_ns	179384000	ns
noa	scroll	-	median	inner_ns	179384000	ns
noa	scroll	-	median	mib_per_s	223.0	mib_s
ghostty	scroll	-	1	inner_ns	1026970000	ns
ghostty	scroll	-	median	inner_ns	1026970000	ns
ghostty	scroll	-	median	mib_per_s	39.0	mib_s
termy	scroll	-	1	inner_ns	276386000	ns
termy	scroll	-	median	inner_ns	276386000	ns
termy	scroll	-	median	mib_per_s	144.7	mib_s
kitty	scroll	-	1	inner_ns	368019000	ns
kitty	scroll	-	median	inner_ns	368019000	ns
kitty	scroll	-	median	mib_per_s	108.7	mib_s
noa	latency	-	1	median_ns	17000	ns
noa	latency	-	1	p99_ns	89000	ns
noa	latency	-	1	min_ns	7000	ns
noa	latency	-	median	median_ns	17000	ns
noa	latency	-	median	p99_ns	89000	ns
ghostty	latency	-	1	median_ns	25000	ns
ghostty	latency	-	1	p99_ns	56000	ns
ghostty	latency	-	1	min_ns	10000	ns
ghostty	latency	-	median	median_ns	25000	ns
ghostty	latency	-	median	p99_ns	56000	ns
termy	latency	-	-	status	UNMEASURED	no-dsr-reply-or-timeout
kitty	latency	-	1	median_ns	3433000	ns
kitty	latency	-	1	p99_ns	10510000	ns
kitty	latency	-	1	min_ns	3052000	ns
kitty	latency	-	median	median_ns	3433000	ns
kitty	latency	-	median	p99_ns	10510000	ns
noa	startup	-	1	total_ns	284666000	ns
noa	startup	-	2	total_ns	282343000	ns
noa	startup	-	median	total_ns	283504500	ns
ghostty	startup	-	1	total_ns	159762000	ns
ghostty	startup	-	2	total_ns	169666000	ns
ghostty	startup	-	median	total_ns	164714000	ns
termy	startup	-	1	total_ns	174802000	ns
termy	startup	-	2	total_ns	178563000	ns
termy	startup	-	median	total_ns	176682500	ns
kitty	startup	-	1	total_ns	268965000	ns
kitty	startup	-	2	total_ns	281719000	ns
kitty	startup	-	median	total_ns	275342000	ns
