terminal	axis	variant	rep	metric	value	unit
noa	latency	-	1	median_ns	27000	ns
noa	latency	-	1	p99_ns	185000	ns
noa	latency	-	1	min_ns	11000	ns
noa	latency	-	2	median_ns	22000	ns
noa	latency	-	2	p99_ns	71000	ns
noa	latency	-	2	min_ns	18000	ns
noa	latency	-	median	median_ns	24500	ns
noa	latency	-	median	p99_ns	128000	ns
ghostty	latency	-	1	median_ns	13000	ns
ghostty	latency	-	1	p99_ns	45000	ns
ghostty	latency	-	1	min_ns	12000	ns
ghostty	latency	-	2	median_ns	40000	ns
ghostty	latency	-	2	p99_ns	83000	ns
ghostty	latency	-	2	min_ns	23000	ns
ghostty	latency	-	median	median_ns	26500	ns
ghostty	latency	-	median	p99_ns	64000	ns
termy	latency	-	1	median_ns	16667000	ns
termy	latency	-	1	p99_ns	51703000	ns
termy	latency	-	1	min_ns	14610000	ns
termy	latency	-	2	median_ns	16665000	ns
termy	latency	-	2	p99_ns	18570000	ns
termy	latency	-	2	min_ns	14671000	ns
termy	latency	-	median	median_ns	16666000	ns
termy	latency	-	median	p99_ns	35136500	ns
kitty	latency	-	1	median_ns	3834000	ns
kitty	latency	-	1	p99_ns	4258000	ns
kitty	latency	-	1	min_ns	3052000	ns
kitty	latency	-	2	median_ns	3828000	ns
kitty	latency	-	2	p99_ns	4849000	ns
kitty	latency	-	2	min_ns	3089000	ns
kitty	latency	-	median	median_ns	3831000	ns
kitty	latency	-	median	p99_ns	4553500	ns
