terminal	axis	variant	rep	metric	value	unit
ghostty	scroll	-	3	inner_ns	960565000	ns
ghostty	scroll	-	median	inner_ns	967279000	ns
ghostty	scroll	-	median	mib_per_s	41.4	mib_s
termy	scroll	-	1	inner_ns	275135000	ns
termy	scroll	-	2	inner_ns	276798000	ns
termy	scroll	-	3	inner_ns	273315000	ns
termy	scroll	-	median	inner_ns	275135000	ns
termy	scroll	-	median	mib_per_s	145.4	mib_s
kitty	scroll	-	1	inner_ns	385567000	ns
kitty	scroll	-	2	inner_ns	375844000	ns
kitty	scroll	-	3	inner_ns	382255000	ns
kitty	scroll	-	median	inner_ns	382255000	ns
kitty	scroll	-	median	mib_per_s	104.7	mib_s
