terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	1177438000	ns
noa	throughput	ascii	1	total_ns	1432526000	ns
noa	throughput	ascii	2	inner_ns	1188381000	ns
noa	throughput	ascii	2	total_ns	1432872000	ns
noa	throughput	ascii	3	inner_ns	1197370000	ns
noa	throughput	ascii	3	total_ns	1432064000	ns
noa	throughput	ascii	median	inner_ns	1188381000	ns
noa	throughput	ascii	median	mib_per_s	126.2	mib_s
noa	throughput	unicode	1	inner_ns	1265651000	ns
noa	throughput	unicode	1	total_ns	1521138000	ns
noa	throughput	unicode	2	inner_ns	1270891000	ns
noa	throughput	unicode	2	total_ns	1515118000	ns
noa	throughput	unicode	3	inner_ns	1270261000	ns
noa	throughput	unicode	3	total_ns	1550751000	ns
noa	throughput	unicode	median	inner_ns	1270261000	ns
noa	throughput	unicode	median	mib_per_s	118.1	mib_s
ghostty	throughput	ascii	1	inner_ns	2338794000	ns
ghostty	throughput	ascii	1	total_ns	2511098000	ns
ghostty	throughput	ascii	2	inner_ns	2200110000	ns
ghostty	throughput	ascii	2	total_ns	2392107000	ns
ghostty	throughput	ascii	3	inner_ns	2168220000	ns
ghostty	throughput	ascii	3	total_ns	2359090000	ns
ghostty	throughput	ascii	median	inner_ns	2200110000	ns
ghostty	throughput	ascii	median	mib_per_s	68.2	mib_s
ghostty	throughput	unicode	1	inner_ns	1931480000	ns
ghostty	throughput	unicode	1	total_ns	2121270000	ns
ghostty	throughput	unicode	2	inner_ns	1955222000	ns
ghostty	throughput	unicode	2	total_ns	2128352000	ns
ghostty	throughput	unicode	3	inner_ns	1924069000	ns
ghostty	throughput	unicode	3	total_ns	2079980000	ns
ghostty	throughput	unicode	median	inner_ns	1931480000	ns
ghostty	throughput	unicode	median	mib_per_s	77.7	mib_s
termy	throughput	ascii	1	inner_ns	1146633000	ns
termy	throughput	ascii	1	total_ns	1325006000	ns
termy	throughput	ascii	2	inner_ns	1137504000	ns
termy	throughput	ascii	2	total_ns	1336386000	ns
termy	throughput	ascii	3	inner_ns	1089342000	ns
termy	throughput	ascii	3	total_ns	1273244000	ns
termy	throughput	ascii	median	inner_ns	1137504000	ns
termy	throughput	ascii	median	mib_per_s	131.9	mib_s
termy	throughput	unicode	1	inner_ns	999410000	ns
termy	throughput	unicode	1	total_ns	1189292000	ns
termy	throughput	unicode	2	inner_ns	992040000	ns
termy	throughput	unicode	2	total_ns	1181358000	ns
termy	throughput	unicode	3	inner_ns	997384000	ns
termy	throughput	unicode	3	total_ns	1178872000	ns
termy	throughput	unicode	median	inner_ns	997384000	ns
termy	throughput	unicode	median	mib_per_s	150.4	mib_s
kitty	throughput	ascii	1	inner_ns	1390148000	ns
kitty	throughput	ascii	1	total_ns	1672510000	ns
kitty	throughput	ascii	2	inner_ns	1395476000	ns
kitty	throughput	ascii	2	total_ns	1674782000	ns
kitty	throughput	ascii	3	inner_ns	1394247000	ns
kitty	throughput	ascii	3	total_ns	1688594000	ns
kitty	throughput	ascii	median	inner_ns	1394247000	ns
kitty	throughput	ascii	median	mib_per_s	107.6	mib_s
kitty	throughput	unicode	1	inner_ns	1301024000	ns
kitty	throughput	unicode	1	total_ns	1572859000	ns
kitty	throughput	unicode	2	inner_ns	1301188000	ns
kitty	throughput	unicode	2	total_ns	1577278000	ns
kitty	throughput	unicode	3	inner_ns	1302934000	ns
kitty	throughput	unicode	3	total_ns	1571490000	ns
kitty	throughput	unicode	median	inner_ns	1301188000	ns
kitty	throughput	unicode	median	mib_per_s	115.3	mib_s
noa	scroll	-	1	inner_ns	189503000	ns
noa	scroll	-	2	inner_ns	182274000	ns
noa	scroll	-	3	inner_ns	183595000	ns
noa	scroll	-	median	inner_ns	183595000	ns
noa	scroll	-	median	mib_per_s	217.9	mib_s
ghostty	scroll	-	1	inner_ns	1042322000	ns
ghostty	scroll	-	2	inner_ns	1036517000	ns
ghostty	scroll	-	3	inner_ns	1069626000	ns
ghostty	scroll	-	median	inner_ns	1042322000	ns
ghostty	scroll	-	median	mib_per_s	38.4	mib_s
termy	scroll	-	1	inner_ns	274770000	ns
termy	scroll	-	2	inner_ns	275981000	ns
termy	scroll	-	3	inner_ns	270517000	ns
termy	scroll	-	median	inner_ns	274770000	ns
termy	scroll	-	median	mib_per_s	145.6	mib_s
kitty	scroll	-	1	inner_ns	374690000	ns
kitty	scroll	-	2	inner_ns	361448000	ns
kitty	scroll	-	3	inner_ns	366647000	ns
kitty	scroll	-	median	inner_ns	366647000	ns
kitty	scroll	-	median	mib_per_s	109.1	mib_s
noa	latency	-	1	median_ns	16000	ns
noa	latency	-	1	p99_ns	58000	ns
noa	latency	-	1	min_ns	13000	ns
noa	latency	-	2	median_ns	20000	ns
noa	latency	-	2	p99_ns	50000	ns
noa	latency	-	2	min_ns	12000	ns
noa	latency	-	median	median_ns	18000	ns
noa	latency	-	median	p99_ns	54000	ns
ghostty	latency	-	1	median_ns	37000	ns
ghostty	latency	-	1	p99_ns	68000	ns
ghostty	latency	-	1	min_ns	11000	ns
ghostty	latency	-	2	median_ns	34000	ns
ghostty	latency	-	2	p99_ns	65000	ns
ghostty	latency	-	2	min_ns	12000	ns
ghostty	latency	-	median	median_ns	35500	ns
ghostty	latency	-	median	p99_ns	66500	ns
termy	latency	-	-	status	UNMEASURED	no-dsr-reply-or-timeout
kitty	latency	-	1	median_ns	3454000	ns
