terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	1170357000	ns
noa	throughput	ascii	1	total_ns	1442934000	ns
noa	throughput	ascii	2	inner_ns	1182077000	ns
noa	throughput	ascii	2	total_ns	1439923000	ns
noa	throughput	ascii	3	inner_ns	1179868000	ns
noa	throughput	ascii	3	total_ns	1446892000	ns
noa	throughput	ascii	median	inner_ns	1179868000	ns
noa	throughput	ascii	median	mib_per_s	127.1	mib_s
noa	throughput	unicode	1	inner_ns	1235784000	ns
noa	throughput	unicode	1	total_ns	1501480000	ns
noa	throughput	unicode	2	inner_ns	1239274000	ns
noa	throughput	unicode	2	total_ns	1484213000	ns
noa	throughput	unicode	3	inner_ns	1253694000	ns
noa	throughput	unicode	3	total_ns	1502541000	ns
noa	throughput	unicode	median	inner_ns	1239274000	ns
noa	throughput	unicode	median	mib_per_s	121.0	mib_s
ghostty	throughput	ascii	1	inner_ns	2309427000	ns
ghostty	throughput	ascii	1	total_ns	2531462000	ns
ghostty	throughput	ascii	2	inner_ns	2039932000	ns
ghostty	throughput	ascii	2	total_ns	2259965000	ns
ghostty	throughput	ascii	3	inner_ns	2092204000	ns
ghostty	throughput	ascii	3	total_ns	2328262000	ns
ghostty	throughput	ascii	median	inner_ns	2092204000	ns
ghostty	throughput	ascii	median	mib_per_s	71.7	mib_s
ghostty	throughput	unicode	1	inner_ns	1895461000	ns
ghostty	throughput	unicode	1	total_ns	2101796000	ns
ghostty	throughput	unicode	2	inner_ns	1880212000	ns
ghostty	throughput	unicode	2	total_ns	2101132000	ns
ghostty	throughput	unicode	3	inner_ns	1938873000	ns
ghostty	throughput	unicode	3	total_ns	2161225000	ns
ghostty	throughput	unicode	median	inner_ns	1895461000	ns
ghostty	throughput	unicode	median	mib_per_s	79.1	mib_s
termy	throughput	ascii	1	inner_ns	1080194000	ns
termy	throughput	ascii	1	total_ns	1301104000	ns
termy	throughput	ascii	2	inner_ns	1039401000	ns
termy	throughput	ascii	2	total_ns	1218662000	ns
termy	throughput	ascii	3	inner_ns	1103103000	ns
termy	throughput	ascii	3	total_ns	1291249000	ns
termy	throughput	ascii	median	inner_ns	1080194000	ns
termy	throughput	ascii	median	mib_per_s	138.9	mib_s
termy	throughput	unicode	1	inner_ns	984742000	ns
termy	throughput	unicode	1	total_ns	1178535000	ns
termy	throughput	unicode	2	inner_ns	987778000	ns
termy	throughput	unicode	2	total_ns	1175747000	ns
termy	throughput	unicode	3	inner_ns	1004296000	ns
termy	throughput	unicode	3	total_ns	1202265000	ns
termy	throughput	unicode	median	inner_ns	987778000	ns
termy	throughput	unicode	median	mib_per_s	151.9	mib_s
kitty	throughput	ascii	1	inner_ns	1431103000	ns
kitty	throughput	ascii	1	total_ns	1818232000	ns
kitty	throughput	ascii	2	inner_ns	1445358000	ns
kitty	throughput	ascii	2	total_ns	1734891000	ns
kitty	throughput	ascii	3	inner_ns	1444315000	ns
kitty	throughput	ascii	3	total_ns	1727706000	ns
kitty	throughput	ascii	median	inner_ns	1444315000	ns
kitty	throughput	ascii	median	mib_per_s	103.9	mib_s
kitty	throughput	unicode	1	inner_ns	1310926000	ns
kitty	throughput	unicode	1	total_ns	1613825000	ns
kitty	throughput	unicode	2	inner_ns	1313733000	ns
kitty	throughput	unicode	2	total_ns	1605351000	ns
kitty	throughput	unicode	3	inner_ns	1311686000	ns
kitty	throughput	unicode	3	total_ns	1598788000	ns
kitty	throughput	unicode	median	inner_ns	1311686000	ns
kitty	throughput	unicode	median	mib_per_s	114.4	mib_s
noa	scroll	-	1	inner_ns	224108000	ns
noa	scroll	-	2	inner_ns	212465000	ns
noa	scroll	-	3	inner_ns	179602000	ns
noa	scroll	-	median	inner_ns	212465000	ns
noa	scroll	-	median	mib_per_s	188.3	mib_s
ghostty	scroll	-	1	inner_ns	1385967000	ns
ghostty	scroll	-	2	inner_ns	1390383000	ns
ghostty	scroll	-	3	inner_ns	1233743000	ns
ghostty	scroll	-	median	inner_ns	1385967000	ns
ghostty	scroll	-	median	mib_per_s	28.9	mib_s
termy	scroll	-	1	inner_ns	263444000	ns
termy	scroll	-	2	inner_ns	277335000	ns
termy	scroll	-	3	inner_ns	275089000	ns
termy	scroll	-	median	inner_ns	275089000	ns
termy	scroll	-	median	mib_per_s	145.4	mib_s
kitty	scroll	-	1	inner_ns	370605000	ns
kitty	scroll	-	2	inner_ns	374278000	ns
kitty	scroll	-	3	inner_ns	370495000	ns
kitty	scroll	-	median	inner_ns	370605000	ns
kitty	scroll	-	median	mib_per_s	107.9	mib_s
noa	meta	-	-	equalized	grid=120x40;font=Menlo@14;ligatures-off;bg-off	note
ghostty	meta	-	-	equalized	grid=120x40;font=Menlo@14;clean-config	note
termy	meta	-	-	equalized	grid=NATIVE-DEFAULT(no-size-key);font=Menlo@14	note
kitty	meta	-	-	equalized	grid=120x40;font=Menlo@14;config=NONE	note
